customer_id,email,country,lifetime_net_spend,country_spend_rank
C00132,meadowsbrittany@example.net,Egypt,27632.084999999995,1
C00457,ghernandez@example.org,Egypt,21163.8495,2
C00407,raymond43@example.org,Egypt,19726.252000000004,3
C00266,rcrosby@example.org,Egypt,19382.347499999996,4
C00296,uparrish@example.org,Egypt,17075.107500000006,5
C00329,thompsonkendra@example.com,Egypt,16979.730000000003,6
C00388,baldwinsherry@example.org,Egypt,16965.578,7
C00408,fitzgeraldvictor@example.com,Egypt,16303.122499999998,8
C00343,michaelhardin@example.com,Egypt,16081.872500000001,9
C00057,ntucker@example.com,Egypt,15759.2075,10
C00405,erikarush@example.com,Egypt,14551.555,11
C00260,tblankenship@example.net,Egypt,14405.171999999999,12
C00003,garzaanthony@example.org,Egypt,13906.295000000002,13
C00450,hudsonjames@example.net,Egypt,13834.289,14
C00363,moniquewilliams@example.com,Egypt,13816.352,15
C00466,armstrongjackie@example.org,Egypt,13512.980000000001,16
C00324,zwarren@example.com,Egypt,13403.510000000002,17
C00191,mkim@example.org,Egypt,12368.0295,18
C00164,kevinperkins@example.com,Egypt,11860.286,19
C00182,andreamoore@example.com,Egypt,11667.692499999997,20
C00481,derrick99@example.org,Egypt,11528.779999999999,21
C00317,vincentwhitaker@example.com,Egypt,10693.027500000004,22
C00308,moorekaren@example.org,Egypt,10514.918,23
C00366,mariahdavis@example.org,Egypt,10228.550000000001,24
C00347,mathewaguilar@example.org,Egypt,9947.744999999999,25
C00058,martinaaron@example.com,Egypt,9245.297999999997,26
C00194,keyemily@example.com,Egypt,8929.68,27
C00467,alexanderrobert@example.com,Egypt,8746.233,28
C00060,,Egypt,8550.999,29
C00030,amoore@example.net,Egypt,8204.422,30
C00139,jamessmith@example.org,Egypt,7905.365499999999,31
C00123,patrickhernandez@example.org,Egypt,7839.99,32
C00333,harrisoncrystal@example.com,Egypt,7580.658,33
C00019,lydiatrujillo@example.com,Egypt,7255.421999999999,34
C00118,juliawells@example.com,Egypt,6484.221499999998,35
C00167,griffithleslie@example.net,Egypt,5764.198,36
C00144,lanesarah@example.net,Egypt,5710.860000000001,37
C00032,meagan89@example.org,Egypt,5220.8240000000005,38
C00201,gibsonleonard@example.com,Egypt,5194.168,39
C00384,ingramjill@example.com,Egypt,5083.35,40
C00026,laurahenderson@example.org,Egypt,4917.111500000001,41
C00243,andrew64@example.org,Egypt,4782.024,42
C00316,ythompson@example.net,Egypt,4775.9655,43
C00268,pollardmichael@example.net,Egypt,4761.920000000001,44
C00355,stanleynancy@example.net,Egypt,4141.934999999999,45
C00470,,Egypt,3284.4220000000005,46
C00476,ann44@example.org,Egypt,2676.8500000000004,47
C00109,dylanwilliams@example.com,Egypt,2438.05,48
C00283,gsimmons@example.com,Egypt,1810.7569999999998,49
C00160,blackjames@example.org,Egypt,1562.463,50
C00240,danielle64@example.com,Egypt,1233.64,51
C00335,xjohnson@example.com,Egypt,-1088.8,52
C00126,gateskathy@example.com,Egypt,-2648.0840000000003,53
C00033,nathanielmartin@example.net,Egypt,,54
C00274,ramireztracey@example.org,Egypt,,54
C00162,fbrewer@example.com,Ethiopia,34440.216,1
C00111,jennifercruz@example.com,Ethiopia,32659.1635,2
C00346,cody64@example.com,Ethiopia,29497.016500000005,3
C00437,larryhiggins@example.net,Ethiopia,26151.020499999995,4
C00080,barnold@example.net,Ethiopia,23553.2945,5
C00192,mnavarro@example.com,Ethiopia,22552.9575,6
C00415,davidharris@example.org,Ethiopia,20812.837499999998,7
C00483,briangutierrez@example.net,Ethiopia,19793.337999999992,8
C00098,michaeljones@example.net,Ethiopia,19537.21,9
C00113,zrobinson@example.net,Ethiopia,19372.704999999998,10
C00339,marcalvarez@example.org,Ethiopia,19147.543,11
C00271,williamsmatthew@example.org,Ethiopia,18180.044000000005,12
C00163,davisjeffrey@example.net,Ethiopia,17878.902500000004,13
C00372,awest@example.org,Ethiopia,17872.639,14
C00391,mullinsjames@example.com,Ethiopia,17762.847999999994,15
C00298,ericolson@example.org,Ethiopia,17479.358999999997,16
C00088,kimberly63@example.com,Ethiopia,16914.8735,17
C00238,nolansteven@example.com,Ethiopia,16864.874499999998,18
C00290,maria66@example.net,Ethiopia,16309.666000000005,19
C00250,ithompson@example.net,Ethiopia,16036.706000000006,20
C00464,silvageorge@example.net,Ethiopia,15036.589000000004,21
C00342,hritter@example.net,Ethiopia,14808.287500000004,22
C00486,edelgado@example.com,Ethiopia,13846.065000000002,23
C00100,elizabeth56@example.net,Ethiopia,13613.933,24
C00018,gabriellecameron@example.org,Ethiopia,13233.73,25
C00487,katelynmitchell@example.com,Ethiopia,12888.122,26
C00251,alyssa42@example.com,Ethiopia,12833.784000000001,27
C00440,gwright@example.org,Ethiopia,12544.380000000001,28
C00328,jonathanthompson@example.org,Ethiopia,11995.958,29
C00302,anthony44@example.com,Ethiopia,11091.389000000005,30
C00055,williamsyvette@example.org,Ethiopia,8727.0445,31
C00152,ryangross@example.net,Ethiopia,8279.794,32
C00125,abrown@example.com,Ethiopia,7799.871,33
C00420,martinezlogan@example.org,Ethiopia,7228.4130000000005,34
C00204,lopezmichael@example.com,Ethiopia,6728.500499999999,35
C00484,xgarcia@example.org,Ethiopia,6637.8855,36
C00348,kyle62@example.net,Ethiopia,6092.412499999999,37
C00102,lbyrd@example.net,Ethiopia,5727.1635,38
C00039,josephbrennan@example.com,Ethiopia,5587.848,39
C00430,megan90@example.org,Ethiopia,4292.4825,40
C00090,dwalker@example.com,Ethiopia,4209.3515,41
C00161,wfreeman@example.org,Ethiopia,3880.9949999999994,42
C00434,timothy64@example.com,Ethiopia,3795.998,43
C00491,lfrench@example.net,Ethiopia,3420.099,44
C00146,vargasmaria@example.org,Ethiopia,3130.341,45
C00065,kwilson@example.org,Ethiopia,2803.414,46
C00035,natasha43@example.org,Ethiopia,1956.0420000000001,47
C00226,charlesharrington@example.com,Ethiopia,546.096,48
C00297,caroline51@example.net,Ethiopia,-6396.54,49
C00287,bwagner@example.org,Ghana,51246.25300000001,1
C00170,harry08@example.org,Ghana,39565.61650000001,2
C00254,michelleramsey@example.com,Ghana,34662.69749999999,3
C00399,wwilliams@example.net,Ghana,29656.784999999996,4
C00341,wagnergerald@example.org,Ghana,27903.6005,5
C00071,sarahibarra@example.org,Ghana,25544.5435,6
C00262,wendy11@example.org,Ghana,25435.515,7
C00070,jonesjason@example.com,Ghana,23377.945500000005,8
C00261,cwilson@example.org,Ghana,20663.110999999997,9
C00472,erica49@example.com,Ghana,19626.494999999995,10
C00212,jsanchez@example.org,Ghana,17915.364999999998,11
C00085,gomezanita@example.com,Ghana,16935.558999999997,12
C00179,michelle64@example.net,Ghana,16805.401,13
C00473,susanramirez@example.com,Ghana,16146.190000000002,14
C00177,,Ghana,14902.359000000002,15
C00122,patricia12@example.org,Ghana,14251.870000000004,16
C00195,hinesgregory@example.net,Ghana,14138.362499999997,17
C00050,ujenkins@example.org,Ghana,13699.439999999999,18
C00492,nancy04@example.net,Ghana,13231.834999999997,19
C00029,kayla51@example.com,Ghana,12832.710000000001,20
C00151,oyu@example.com,Ghana,12676.725999999999,21
C00429,brittanycarpenter@example.org,Ghana,12550.524000000001,22
C00446,jasongomez@example.org,Ghana,11024.939500000002,23
C00196,lmoon@example.net,Ghana,10763.184,24
C00154,lpetersen@example.com,Ghana,10661.318000000003,25
C00488,velezchristopher@example.net,Ghana,10523.454499999998,26
C00069,smithchristine@example.net,Ghana,10520.73,27
C00277,alfred40@example.org,Ghana,10153.9505,28
C00036,nataliearroyo@example.org,Ghana,9937.6475,29
C00189,scott74@example.net,Ghana,9263.2125,30
