order_id,return_id,return_date,reason,refund_amount,customer_id,order_date,status,total_amount,discount_pct,is_negative_amount,signup_date,country,customer_tier,email,item_id,product_id,quantity,unit_price,category,net_amount,refund_exceeds_order
O0001117,R000283,2023-03-21,wrong_item,476.87,C00444,2023-11-02,cancelled,1672.14,0.0,false,2020-01-15,Nigeria,silver,tjimenez@example.com,I000003287,P0069,3,236.8,clothing,1672.14,false
O0001117,R000283,2023-03-21,wrong_item,476.87,C00444,2023-11-02,cancelled,1672.14,0.0,false,2020-01-15,Nigeria,silver,tjimenez@example.com,I000003286,P0030,4,272.89,sports,1672.14,false
O0000183,R000278,2023-01-25,duplicate_order,1904.66,C00282,2023-10-09,shipped,2341.01,10.0,false,2023-09-09,Rwanda,silver,stephen00@example.com,I000000525,P0317,7,416.94,home_garden,2106.909,false
O0000183,R000278,2023-01-25,duplicate_order,1904.66,C00282,2023-10-09,shipped,2341.01,10.0,false,2023-09-09,Rwanda,silver,stephen00@example.com,I000000526,P0487,8,199.93,home_garden,2106.909,false
O_MISSING_00015,R_GHOST_00016,2023-02-28,arrived_late,275.09,,,,,,,,,,,,,,,,,false
O0000904,R000263,2024-03-05,duplicate_order,1132.29,C00390,2022-03-12,shipped,2442.5,15.0,false,2020-09-11,Rwanda,platinum,zachary87@example.com,I000002673,P0285,9,282.07,sports,2076.125,false
O0000904,R000263,2024-03-05,duplicate_order,1132.29,C00390,2022-03-12,shipped,2442.5,15.0,false,2020-09-11,Rwanda,platinum,zachary87@example.com,I000002674,P0059,7,116.3,sports,2076.125,false
O0000107,R000148,2024-02-20,arrived_late,1153.29,C00326,2022-05-28,shipped,831.47,0.0,false,2021-03-29,Nigeria,gold,schmidtjames@example.com,I000000306,P0317,8,41.69,books,831.47,true
O0000107,R000148,2024-02-20,arrived_late,1153.29,C00326,2022-05-28,shipped,831.47,0.0,false,2021-03-29,Nigeria,gold,schmidtjames@example.com,I000000307,P0497,6,435.42,home_garden,831.47,true
O0000600,R000174,2023-05-27,wrong_item,1169.35,C00192,2022-12-10,completed,1800.61,15.0,false,2020-04-10,Ethiopia,platinum,mnavarro@example.com,I000001764,P0465,8,72.28,home_garden,1530.5185,false
O0001757,R000289,2023-05-11,not_as_described,61.37,C00360,2024-01-03,completed,505.76,5.0,false,2023-01-03,Ghana,silver,mmckee@example.com,I000005193,P0413,5,84.45,toys,480.472,false
O0001757,R000289,2023-05-11,not_as_described,61.37,C00360,2024-01-03,completed,505.76,5.0,false,2023-01-03,Ghana,silver,mmckee@example.com,I000005197,P0144,8,19.74,home_garden,480.472,false
O0001757,R000289,2023-05-11,not_as_described,61.37,C00360,2024-01-03,completed,505.76,5.0,false,2023-01-03,Ghana,silver,mmckee@example.com,I000005194,P0046,6,490.93,clothing,480.472,false
O0001757,R000289,2023-05-11,not_as_described,61.37,C00360,2024-01-03,completed,505.76,5.0,false,2023-01-03,Ghana,silver,mmckee@example.com,I000005196,P0350,5,414.02,beauty,480.472,false
O0001757,R000289,2023-05-11,not_as_described,61.37,C00360,2024-01-03,completed,505.76,5.0,false,2023-01-03,Ghana,silver,mmckee@example.com,I000005195,P0356,7,331.27,books,480.472,false
O0000626,R000163,2024-03-25,duplicate_order,557.53,C00173,2022-01-20,pending,1776.11,15.0,false,2020-12-17,Kenya,silver,andrewstaylor@example.com,I000001843,P0476,2,75.6,books,1509.6934999999999,false
O0000626,R000163,2024-03-25,duplicate_order,557.53,C00173,2022-01-20,pending,1776.11,15.0,false,2020-12-17,Kenya,silver,andrewstaylor@example.com,I000001844,P0404,8,411.0,food_drink,1509.6934999999999,false
O0000626,R000163,2024-03-25,duplicate_order,557.53,C00173,2022-01-20,pending,1776.11,15.0,false,2020-12-17,Kenya,silver,andrewstaylor@example.com,I000001845,P0013,1,250.08,beauty,1509.6934999999999,false
O0001269,R000124,2024-03-30,duplicate_order,758.51,,,,,,,,,,,,,,,,,false
O0001462,R000280,2023-07-28,defective,368.0,C00163,2024-04-27,cancelled,2190.56,25.0,false,2019-08-01,Ethiopia,bronze,davisjeffrey@example.net,I000004283,P0103,4,114.48,home_garden,1642.92,false
O0001462,R000280,2023-07-28,defective,368.0,C00163,2024-04-27,cancelled,2190.56,25.0,false,2019-08-01,Ethiopia,bronze,davisjeffrey@example.net,I000004282,P0163,8,178.29,food_drink,1642.92,false
O0001462,R000280,2023-07-28,defective,368.0,C00163,2024-04-27,cancelled,2190.56,25.0,false,2019-08-01,Ethiopia,bronze,davisjeffrey@example.net,I000004284,P0283,7,69.74,toys,1642.92,false
O0001462,R000280,2023-07-28,defective,368.0,C00163,2024-04-27,cancelled,2190.56,25.0,false,2019-08-01,Ethiopia,bronze,davisjeffrey@example.net,I000004281,P0044,5,255.55,sports,1642.92,false
O0000198,R000131,2022-10-14,changed_mind,173.25,C00258,2022-08-04,refunded,1062.92,5.0,false,2018-05-28,Rwanda,platinum,thomasharvey@example.net,I000000563,P0124,6,399.88,clothing,1009.774,false
O0000198,R000131,2022-10-14,changed_mind,173.25,C00258,2022-08-04,refunded,1062.92,5.0,false,2018-05-28,Rwanda,platinum,thomasharvey@example.net,I000000565,P0295,6,445.14,beauty,1009.774,false
O0000198,R000131,2022-10-14,changed_mind,173.25,C00258,2022-08-04,refunded,1062.92,5.0,false,2018-05-28,Rwanda,platinum,thomasharvey@example.net,I000000566,P0192,9,381.25,toys,1009.774,false
O0000198,R000131,2022-10-14,changed_mind,173.25,C00258,2022-08-04,refunded,1062.92,5.0,false,2018-05-28,Rwanda,platinum,thomasharvey@example.net,I000000562,P0254,3,120.12,toys,1009.774,false
O0000198,R000131,2022-10-14,changed_mind,173.25,C00258,2022-08-04,refunded,1062.92,5.0,false,2018-05-28,Rwanda,platinum,thomasharvey@example.net,I000000564,P0428,5,149.58,electronics,1009.774,false
O0001826,R000250,2023-12-07,not_as_described,774.53,C00106,2023-02-28,pending,1722.85,0.0,false,2020-11-04,Kenya,platinum,yleon@example.net,I000005403,P0172,1,71.71,books,1722.85,false
O0001826,R000250,2023-12-07,not_as_described,774.53,C00106,2023-02-28,pending,1722.85,0.0,false,2020-11-04,Kenya,platinum,yleon@example.net,I000005401,P0264,5,445.02,sports,1722.85,false
O0001826,R000250,2023-12-07,not_as_described,774.53,C00106,2023-02-28,pending,1722.85,0.0,false,2020-11-04,Kenya,platinum,yleon@example.net,I000005400,P0102,5,356.51,electronics,1722.85,false
O0001826,R000250,2023-12-07,not_as_described,774.53,C00106,2023-02-28,pending,1722.85,0.0,false,2020-11-04,Kenya,platinum,yleon@example.net,I000005402,P0335,4,108.2,beauty,1722.85,false
O0001826,R000250,2023-12-07,not_as_described,774.53,C00106,2023-02-28,pending,1722.85,0.0,false,2020-11-04,Kenya,platinum,yleon@example.net,I000005404,P0467,6,108.24,clothing,1722.85,false
O0001014,R000057,2022-10-01,duplicate_order,-1261.73,C00370,2023-05-31,cancelled,-1306.75,10.0,true,2018-03-18,Nigeria,bronze,lacey20@example.com,I000003008,P0291,8,484.67,food_drink,-1176.075,false
O_MISSING_00012,R_GHOST_00013,2022-08-10,duplicate_order,403.5,,,,,,,,,,,,,,,,,false
O0001163,R000015,2024-01-21,defective,1373.03,C00081,2023-02-07,completed,2082.13,25.0,false,2018-11-01,Senegal,platinum,rodriguezsierra@example.net,I000003441,P0017,9,322.53,beauty,1561.5975,false
O0001163,R000015,2024-01-21,defective,1373.03,C00081,2023-02-07,completed,2082.13,25.0,false,2018-11-01,Senegal,platinum,rodriguezsierra@example.net,I000003442,P0359,7,42.33,books,1561.5975,false
O0001163,R000015,2024-01-21,defective,1373.03,C00081,2023-02-07,completed,2082.13,25.0,false,2018-11-01,Senegal,platinum,rodriguezsierra@example.net,I000003444,P0481,2,243.72,home_garden,1561.5975,false
O0001163,R000015,2024-01-21,defective,1373.03,C00081,2023-02-07,completed,2082.13,25.0,false,2018-11-01,Senegal,platinum,rodriguezsierra@example.net,I000003445,P0171,5,101.51,sports,1561.5975,false
O0001163,R000015,2024-01-21,defective,1373.03,C00081,2023-02-07,completed,2082.13,25.0,false,2018-11-01,Senegal,platinum,rodriguezsierra@example.net,I000003443,P0259,5,373.96,sports,1561.5975,false
O0000959,R000197,2023-09-13,arrived_late,1573.6,C00066,2022-09-17,refunded,1919.8,0.0,false,2018-04-24,Rwanda,platinum,harveyrobert@example.net,I000002852,P0401,7,385.04,clothing,1919.8,false
O0000959,R000197,2023-09-13,arrived_late,1573.6,C00066,2022-09-17,refunded,1919.8,0.0,false,2018-04-24,Rwanda,platinum,harveyrobert@example.net,I000002854,P0116,9,304.78,electronics,1919.8,false
O0000959,R000197,2023-09-13,arrived_late,1573.6,C00066,2022-09-17,refunded,1919.8,0.0,false,2018-04-24,Rwanda,platinum,harveyrobert@example.net,I000002853,P0490,2,486.61,home_garden,1919.8,false
O_MISSING_00009,R_GHOST_00010,2022-04-07,arrived_late,87.77,,,,,,,,,,,,,,,,,false
O0000829,R000098,2022-05-20,arrived_late,263.32,C00284,2022-08-06,cancelled,801.99,25.0,false,2020-05-20,South Africa,silver,fjones@example.com,I000002454,P0085,2,353.21,food_drink,601.4925000000001,false
O0000829,R000098,2022-05-20,arrived_late,263.32,C00284,2022-08-06,cancelled,801.99,25.0,false,2020-05-20,South Africa,silver,fjones@example.com,I000002450,P0048,8,464.0,books,601.4925000000001,false
O0000829,R000098,2022-05-20,arrived_late,263.32,C00284,2022-08-06,cancelled,801.99,25.0,false,2020-05-20,South Africa,silver,fjones@example.com,I000002451,P0244,8,312.16,food_drink,601.4925000000001,false
O0000829,R000098,2022-05-20,arrived_late,263.32,C00284,2022-08-06,cancelled,801.99,25.0,false,2020-05-20,South Africa,silver,fjones@example.com,I000002452,P0448,2,236.68,beauty,601.4925000000001,false
O0000829,R000098,2022-05-20,arrived_late,263.32,C00284,2022-08-06,cancelled,801.99,25.0,false,2020-05-20,South Africa,silver,fjones@example.com,I000002453,P0368,9,385.12,toys,601.4925000000001,false
O0000226,R000105,2022-06-24,duplicate_order,,C00302,2023-01-18,cancelled,77.53,10.0,false,2019-10-28,Ethiopia,bronze,anthony44@example.com,I000000648,P0341,5,387.12,sports,69.777,false
O0000226,R000105,2022-06-24,duplicate_order,,C00302,2023-01-18,cancelled,77.53,10.0,false,2019-10-28,Ethiopia,bronze,anthony44@example.com,I000000649,P0192,5,495.09,home_garden,69.777,false
O0001148,R000110,2024-07-19,duplicate_order,2020.28,C00215,2023-09-21,pending,2094.47,,false,2020-02-27,Nigeria,bronze,sarah84@example.org,I000003395,P0391,6,238.53,toys,,false
